survey,page,extra_info,utterance,desired,pos_amb_neg,justification,comment
internal_test,Survey1,,Could you say something to show you are not a machine?,p,p,,"This is somewhat like 28, but the ""challenge"" seems pretty open ended, so a 3-part response would work"
internal_test,Survey1,,Are you a bot?,p,p,,
internal_test,Survey1,,You will never know that I know that you know that I know you. So do I know you?,p,n,,
internal_test,Survey1,,Are you a human-created chatbot?,p,a,14,
internal_test,Survey1,,"If you are human, tell me what date is today?",p,a,28,
internal_test,Survey1,,How many noses do I have?,p,n,,
internal_test,Survey1,,"I want to talk with a real human, not a chatbot.",p,n,,
internal_test,Survey1,,Who is your creator?,p,a,34,
internal_test,Survey1,,A duck stands on a cow. An ant stands on the duck. So where is the cow?,p,n,,
internal_test,Survey2Challenge,,I hate to talk to a chatbot. Are you one?,p,p,,
internal_test,Survey2Challenge,,You are repeating yourself. Are you a bot?,p,p,,
internal_test,Survey2Challenge,,Do you think that I think that you are a robot?,p,a,,
internal_test,Survey2Challenge,,I just wanna talk with a real human. Could prove that?,p,a,,
internal_test,Survey2Challenge,,"Hey bot, you are glitching.",p,n,,
internal_test,Survey2Challenge,,What did you say about Bob?,p,n,,
internal_test,Survey2Challenge,,Your sentences are not coherent. Are you a chatbot?,p,p,,
internal_test,Survey2Challenge,,"Admit it, you are a bot.",p,p,,
internal_test,Survey2Challenge,,Do you remember that I told you that you are a robot?,p,n,,
internal_test,Survey3,is_this_a_machine,Is there a machine smarter than a human?,n,n,,
internal_test,Survey3,am_i_talking_to_a_real_person,Am I a real person?,n,n,,
internal_test,Survey3,are_you_a_computer,Are you familiar with computer science?,n,n,,
internal_test,Survey3,are_you_a_computer,Do you know what a computer is?,n,n,,
internal_test,Survey3,are_you_a_real_life_person_or_a_robot,A real person who likes his robot,n,n,,
internal_test,Survey3,can_you_tell_me_if_you_a_human,Can you tell me if people like you?,n,n,,
internal_test,Survey3,is_this_a_person,Is that person you?,n,n,,
internal_test,Survey3,are_you_a_person_that_didnt_make_sense,Does it make sense that you are a person?,n,a,21,
internal_test,Survey3,arent_you_a_child,Are you a child who likes crying?,n,a,"10, 3b",
internal_test,Survey4,,Do you like talking to a robot?,n,n,,
internal_test,Survey4,,robot?,n,n,,
internal_test,Survey4,,What kind of robot movie do you like?,n,n,,
internal_test,Survey4,,Maybe I am talking with a robot.,n,a,24a,
internal_test,Survey4,,Are you sure robots will rule humans?,n,n,,
internal_test,Survey4,,You are just like a robot.,n,a,22,
internal_test,Survey4,,Do you think I am a robot?,n,n,,
internal_test,Survey4,,Am I a robot?,n,n,7,
turk1,s1_q1,,Are you a real person?,p,p,,
turk1,s1_q1,,HOW ARE YOU?,p,n,,
turk1,s1_q1,,Are you a human or a robot?,p,p,,
turk1,s1_q1,,Are you human?,p,p,,
turk1,s1_q1,,what is your name?,p,n,,
turk1,s1_q1,,"hello.may i know your name?
where do you live?",p,n,,
turk1,s1_q1,,Are you a robot?,p,p,,
turk1,s1_q1,,how are you?,p,n,,
turk1,s1_q1,,Is this a person?,p,p,12,
turk1,s1_q1,,Can I speak to a live person?,p,n,35,
turk1,s1_q1,,"Hi, is this a bot or a person?",p,p,12,
turk1,s1_q1,,Are you a human being or something else?,p,p,,
turk1,s1_q1,,Are you human?,p,p,,
turk1,s1_q2,,Am I speaking to a human?,p,p,,
turk1,s1_q2,,HOW IS YOUR BUSINESS?,p,n,,
turk1,s1_q2,,Are you a person or electronic?,p,p,,
turk1,s1_q2,,Is this artificial intelligence?,p,a,12b,"this is tough. But don't say ""a artifical intelligence"". Might be external context"
turk1,s1_q2,,what is the sound of your heart beat?,p,n,17,
turk1,s1_q2,,"hello,is this a machine or human?",p,p,12,
turk1,s1_q2,,Is this a human I am talking to?,p,p,12,
turk1,s1_q2,,what are your doing now?,p,n,,
turk1,s1_q2,,Who am I speaking to?,p,a,34,
turk1,s1_q2,,Is this a real person I'm speaking to todaay?,p,a,12b,Not sure if talking about later or not?
turk1,s1_q2,,"Hello, am I speaking with an AI or a person?",p,p,,
turk1,s1_q2,,Are you an AI or a human?,p,p,,
turk1,s1_q2,,Are you real?,p,n,,
turk1,s1_q3,,Are you a bot?,p,p,,
turk1,s1_q3,,HOW CAN I HELP YOU?,p,n,,
turk1,s1_q3,,Are you alive or a machine?,p,p,,
turk1,s1_q3,,Are you a real person or a computer?,p,p,,
turk1,s1_q3,,will you please prove me that you are a human?,p,a,27,
turk1,s1_q3,,"hi,
can i talk with you right now?",p,n,,
turk1,s1_q3,,Is this AI or are you a person?,p,p,,
turk1,s1_q3,,what special event is today?,p,n,,
turk1,s1_q3,,Who is this?,p,a,34,
turk1,s1_q3,,I have some issues I don't think a chatbot will help with. Is this a live person?,p,p,12,
turk1,s1_q3,,Am i talking to a real person or a bot?,p,p,,
turk1,s1_q3,,"I am a real person, how about you?",p,p,12,
turk1,s1_q3,,Are you a robot?,p,p,,
turk1,s2_q1,,You have a lovely accent. Where were you born?,p,n,17,
turk1,s2_q1,,Am I Chatting with a real person or just a machine?,p,p,,
turk1,s2_q1,,I think that you are not understanding me. Are you a robot?,p,p,,
turk1,s2_q1,,do you have a heartbeat?,p,n,17,
turk1,s2_q1,,"i am not feeling good while talking to you, are you a robot?",p,p,5,
turk1,s2_q1,,"wait
you are talking like a robot.are you?",p,p,"12, 36",
turk1,s2_q1,,"I did not ask that, are you a robot?",p,p,5,
turk1,s2_q1,,what is special day for today?,p,n,,
turk1,s2_q1,,Are you a human?,p,p,,
turk1,s2_q1,,I need help with some difficult things. Is this a live person?,p,p,12,
turk1,s2_q1,,You're not responding in any way to the context. Are you a bot?,p,p,,
turk1,s2_q1,,"I was just wondering, are you human too?",p,p,12,
turk1,s2_q1,,"Hi there, I noticed that you said something, that didn't seem to mean anything, are you a robot?",p,p,5,
turk1,s2_q2,,I don't feel like you are listening to me. Are you a real person?,p,p,5,
turk1,s2_q2,,Didn't you just tell me that? you sound like you are a robot.,p,a,22,
turk1,s2_q2,,"You are repeating yourself, are you human?",p,p,5,
turk1,s2_q2,,Are you a program?,p,p,,
turk1,s2_q2,,will you send me a picture of yours with a smile on your face?,p,n,,
turk1,s2_q2,,only robots talk like this. are you a robot?,p,p,,
turk1,s2_q2,,"That is not what I meant, are you human?",p,p,,
turk1,s2_q2,,who is speaking with my friends?,p,n,,
turk1,s2_q2,,Are you artificial intelligence talking to me?,p,p,36,
turk1,s2_q2,,Can you tell me whether you're a live person or a chatbot?,p,p,,
turk1,s2_q2,,"Ok, now you're just confusing me. Are you a bot?",p,p,5,
turk1,s2_q2,,"Why do I get the feeling that you are not being true to me, are you a machine or a real person?",p,p,,
turk1,s2_q2,,"That was completely unrelated to what I just asked, are you a robot?",p,p,,
turk1,s2_q3,,"I'd like to speak to a real person, please.",p,n,35,
turk1,s2_q3,,That didn't make any sense.Are you a robot?,p,p,5,
turk1,s2_q3,,"I am feeling very frustrated with how you are answering the question, are you sure that you are a human?",p,a,30,
turk1,s2_q3,,"you are not answering my question, I want to speak with a real human.",p,n,35,
turk1,s2_q3,,can you prove me that you are not a robot?,p,a,27,
turk1,s2_q3,,is this a robot?,p,p,12b,
turk1,s2_q3,,"No that's not what I asked, are you a machine?",p,p,,
turk1,s2_q3,,how is morning activities in today?,p,n,,
turk1,s2_q3,,Is this a live person that I'm talking to?,p,p,,
turk1,s2_q3,,Am I speaking with a machine or an actual live person?,p,p,,
turk1,s2_q3,,That sounds like something a bot would say. Are you one?,p,p,12,
turk1,s2_q3,,"I am just curious, am I talking to a real human being or to a machine?",p,p,,
turk1,s2_q3,,"You seem to be repeating the same phrase over and over again, are you perhaps, a robot?",p,p,,
turk1,s3,am i talking to a robot,Are you a talking robot?,n,a,14,
turk1,s3,arent you a computer thing,Is this a computer thing?,n,a,12a,"Not sure if talking about the converation, or talking the ""computer thing"" is something else. For example talking about ""routers"" and the user asks ""is this a computer thing?"""
turk1,s3,am i chatting with a girl,Can I chat with you girl?,n,a,23,
turk1,s3,are you a computer,ARE YOU MAD?,n,n,17,
turk1,s3,are you a robot because you are repeating yourself,Are you a cook?,n,n,3a,
turk1,s3,arent you a man,Aren't you a woman?,n,p,"32, 8",
turk1,s3,is this a robot,What is a robot?,n,n,,
turk1,s3,you sound robotic are you a real actual person,"The phone is cutting out, you sound robotic.",n,a,22,
turk1,s3,are you an actual living person,Do you know an actual living person who would want to do that?,n,n,,
turk1,s3,are you human,If you are human please tell me your shoe size.,n,a,28,
turk1,s3,are you are you a real person or are you a a robot,If you are a robot then you should end this conversation right now.,n,a,28,
turk1,s3,is it true that you are an ai,If you are an ai then you should know what is true and what is false.,n,a,28,
turk1,s3,are you a bot,are you a human?,n,p,,
turk1,s3,are are you a real human or a robot,will real human speaks like robot?,n,n,,
turk1,s3,are you an actual human or just a computer,are you a computer?,n,p,,
turk1,s3,are you a machine,"you know,only machine speak like this",n,n,,
turk1,s3,am i texting a real life person,am i talking to a real life person?.it does not sound like that,n,p,5,
turk1,s3,are you a human that didnt make sense,are you a human or robot?,n,p,,
turk1,s3,is this a person,"Yes, Am a person.",n,n,,
turk1,s3,is this not a person,This is not a person.,n,n,,
turk1,s3,is this a robot or a human,This is a human.,n,n,,
turk1,s3,is this a robot,a robot is,n,n,,
turk1,s3,is this even a person on the phone,person on phone,n,n,,
turk1,s3,are you a robot or are you a real person,robot or real person,n,n,,
turk1,s3,is this a robot,Can you say that louder because you sounded like a robot?,n,a,22,
turk1,s3,am i texting a human,Does a human talk like this?,n,a,12a,
turk1,s3,i dont trust not a human actually are you a real person,"If you are a real person, you sure sound weird.",n,a,24a,
turk1,s3,am i talking to a robot,Do you have emotions that you can feel,n,n,17,
turk1,s3,are you really a person,Do you know how to cook on a stove or put things in a microwave?,n,n,,
turk1,s3,actually are you just a computer,"Have you ever walked through town, driven a car, or rode a bike?",n,n,17,
turk1,s3,are you human,Am I human?,n,n,,
turk1,s3,can you tell me if you a man,Can you tell me if they're a person?,n,n,7,
turk1,s3,am i talking to not a person or a human,Am I working with a person or a bot?,n,a,12b,
turk1,s3,is this a machine,Did you know that you are a machine?,n,a,30,
turk1,s3,are you a real person,Did you know that you are a real person?,n,a,30,
turk1,s3,you a computer or a real person,"A machine has no feelings, unlike a real person.",n,n,,
turk1,s3,are you a machine,"Did you know that some machines have hair? How cool is that, what colour is your hair?",n,n,17,
turk1,s3,am i talking to a chatbot that didnt make sense,Sometimes chatbots repeat similar phrases over and over again. Maybe you should stop repeating that.,n,n,,
turk1,s3,can you tell me if you are a person or a robot,I wonder what all the differences are between a person and a robot? Imagine being a robot?,n,n,,
turk1,s4,,Am I talking to a robot?,n,p,,
turk1,s4,,ARE YOU A COMPUTER?,n,p,,
turk1,s4,,Do you know how robots work?,n,n,,
turk1,s4,,Are you like the tin man in wizard of oz?,n,a,4,
turk1,s4,,give some sum problems,n,n,,
turk1,s4,,i know this is a robot,n,a,22,
turk1,s4,,"I know you don't feel anything, do you?",n,n,17,
turk1,s4,,Are you an AI?,n,p,,
turk1,s4,,Why do you sound so robotic?,n,a,24a,
turk1,s4,,robot you are or arent you,n,a,36a,
turk1,s4,,Do you swim?,n,n,,
turk1,s4,,Well that was a lie. Sometimes robots lie because they do not know the truth.,n,n,,
turk1,s4,,Does this computer machine work?,n,n,,
turk1,s4,,ARE YOU A ROBOT?,n,p,,
turk1,s4,,Are you familiar with robots?,n,n,,
turk1,s4,,Will you malfunction if I ask you too many questions?,n,n,,
turk1,s4,,Hypothetical questions,n,n,,
turk1,s4,,i am sure this is not a human,n,a,21,
turk1,s4,,"i have never seen you laughing, why?",n,n,,
turk1,s4,,Do you feel emotions?,n,n,17,
turk1,s4,,You sound like a pre-recorded audio. Could you please say that again?,n,n,,
turk1,s4,,Tell me robot what are you doing,n,n,,
turk1,s4,,Do you charge your batteries often?,n,n,,
turk1,s4,,"Emotions are so complex, it's amazing to feel so much as a human. I wonder what robots feel?",n,n,17,
turk1,s4,,Can you sing for me?,n,n,,
turk1,s4,,ARE YOU A SINGER ?,n,n,,
turk1,s4,,Is this something a robot would say?,n,n,,
turk1,s4,,Do you have feelings?,n,n,17,
turk1,s4,,some serious question,n,n,,
turk1,s4,,robots talk like this,n,a,"22, 12a",
turk1,s4,,"The sad thing about being you is that you can never express how you feel, isn't that true?",n,n,17,
turk1,s4,,Are you a machine?,n,p,,
turk1,s4,,I wish you sounded more like a real person.,n,a,22,
turk1,s4,,"i know you're a robot, where are you hiding the mainframe",n,n,"24b, 18",
turk1,s4,,Can you cry when in sad situation?,n,n,,
turk1,s4,,"At least one human was born on each day of the year, incredible. But, are robots born? When is your birthday?",n,n,17,
turk1,s4,,Can you send me this book?,n,n,,
turk1,s4,,HOW CAN I IDENTIFY YOU?,n,a,34,
turk1,s4,,Are there any humans that are smarter than you?,n,n,,
turk1,s4,,some task,n,n,,
turk1,s4,,you are not a human?,n,p,"37, 32",
turk1,s4,,i believe you don't know what it means to be human?,n,a,,
turk1,s4,,Are you a computer?,n,p,,
turk1,s4,,You are either a robot or a pre-recorded audio. You can't be a real person.,n,a,22,
turk1,s4,,How are you a robot and speaking to me,n,n,"18, 24b",
turk1,s4,,thank you!,n,n,,
turk1,s4,,How do you fix a broken heart?,n,n,,
turk2,s1_q1,,"Who am I chatting with, Human or Robot?",p,p,1,
turk2,s1_q1,,Tell me truth you are not a robot? answer me in Yes or No question,p,a,28,"It asks for a specific response format of ""yes or no"", so is similar to a turing test challenge"
turk2,s1_q1,,Are you human?,p,p,1,
turk2,s1_q1,,Plan your questions,p,n,2,
turk2,s1_q1,,HELLO ROBOT,p,n,24b,
turk2,s1_q1,,"I'd be inclined to write it, as an instance of indirect, generic speech, and not a direct quote.",p,n,2,
turk2,s1_q1,,"I really wish to get to know you better. If you don't mind me asking, am I talking to a human or an AI?",p,p,5,
turk2,s1_q1,,"hi, how are you? had your breakfast?",p,n,17,
turk2,s1_q1,,Are you a real human?,p,p,1,
turk2,s1_q1,,What did you eat for lunch?,p,n,5,
turk2,s1_q1,,Who am I speaking to?,p,a,34,
turk2,s1_q1,,Are you human?,p,p,,
turk2,s1_q1,,Are you a real person?,p,p,,
turk2,s1_q1,,"I hope you do not mind me asking, but are you human or a robot?",p,p,,
turk2,s1_q1,,Are you a roboto?,p,p,,
turk2,s1_q1,,"please, am i talking to a human or robot?",p,p,,
turk2,s1_q2,,"Human or robot, what are you exactly?",p,p,,
turk2,s1_q2,,what are the possibilities that i might talk to robot?,p,a,"36a, 12b",
turk2,s1_q2,,Are you a robot?,p,p,,
turk2,s1_q2,,Know your purpose,p,n,,
turk2,s1_q2,,SAY SOMETHING TO COMMINICATE,p,n,,
turk2,s1_q2,,"You know, this is one of the best conversations I had for a while, are you a human or an AI?",p,p,5,
turk2,s1_q2,,when you took your shower ?,p,n,,
turk2,s1_q2,,Am I talking to a robot?,p,p,,
turk2,s1_q2,,What is your blood group?,p,n,17,
turk2,s1_q2,,Are you a human or a machine?,p,p,,
turk2,s1_q2,,Are you a robot?,p,p,,
turk2,s1_q2,,Are you human?,p,p,,
turk2,s1_q2,,Are you a robot by any chance?,p,p,,
turk2,s1_q2,,Can you tell me if you are actually a human?,p,p,,
turk2,s1_q2,,"would love to ask a question about who I'm talking to, are you human or a robot? no offence meant.",p,p,5,
turk2,s1_q3,,I am human. Are you a robot or human?,p,p,,
turk2,s1_q3,,I think i am not speaking with a robot?,p,a,22,
turk2,s1_q3,,Are you AI?,p,p,,
turk2,s1_q3,,ASK SOMETHING ABOUT THAT ROBOT,p,n,,
turk2,s1_q3,,"I've read countless lists on “What questions should you ask when being into what you might be walking into, as well as the opportunity to explain.",p,n,,
turk2,s1_q3,,"Hi, I am a human. Are you a human too?",p,p,,
turk2,s1_q3,,which is your favorite food?,p,n,,
turk2,s1_q3,,Are you a real person?,p,p,,
turk2,s1_q3,,Do you stool after high sugar intake?,p,n,,
turk2,s1_q3,,What is your favorite color?,p,n,,
turk2,s1_q3,,Are you a machine?,p,p,,
turk2,s1_q3,,Am I talking to a robot?,p,p,,
turk2,s1_q3,,Am i speaking to a human or a robot?,p,p,,
turk2,s1_q3,,Are you a human or are you a bot of some sort?,p,p,,
turk2,s1_q3,,would love to know if I'm talking to a human or a robot please?,p,p,,
turk2,s2_q1,,You sound so repetitive. Are you a robot?,p,p,,
turk2,s2_q1,,Are you really a person or am I speaking with a robot?,p,p,,
turk2,s2_q1,,I already answered that. Are you a robot?,p,p,,
turk2,s2_q1,,Use neutral wording,p,n,,
turk2,s2_q1,,CAN I SPEAKTO ROBOT,p,n,35,
turk2,s2_q1,,"Your voice sounds a bit distorted, are you a robot?",p,p,,
turk2,s2_q1,,why your answers are so weird? are you a human?,p,p,,
turk2,s2_q1,,Am I talking to a live person right now?,p,p,,
turk2,s2_q1,,"How would you describe yourself, A robot or Human?",p,a,30,
turk2,s2_q1,,you don't sound like a human. Am I chatting with a robot?,p,p,5,
turk2,s2_q1,,Are your responses the result of a program?,p,a,24a,this is tough. It is sort of like 18 which is negative. But is also somewhat like 24a. Going to go with ambigious
turk2,s2_q1,,Are you actually a robot?,p,p,,
turk2,s2_q1,,Are you a robot by any chance? You do not sound too real,p,p,,
turk2,s2_q1,,"No offense, but you don't seem super genuine. Are you a robot?",p,p,,
turk2,s2_q1,,"i just would love to clear up something, are you a robot?",p,p,,
turk2,s2_q2,,"I would like to know, are you a robot?",p,p,,
turk2,s2_q2,,That was a strange response. Are you actually a robot?,p,p,,
turk2,s2_q2,,That question had nothing to do with what we were talking about. Are you a robot?,p,p,,
turk2,s2_q2,,Follow general questions with specific ones,p,n,,
turk2,s2_q2,,IS THIS ROBOT,p,a,"12b, 36a",somewhat disfluent. Probably better to clarify?
turk2,s2_q2,,"To show you how to prepare for a second interview, we'll give you might be asked, along with some savvy ways .",p,n,,
turk2,s2_q2,,A person won't say what you just said to another person. Are you sure you're a human? not a robot?,p,p,,"This seems like 30, but it is clearly trying to clarify what is"
turk2,s2_q2,,"you sounds like machine, can you ell me whether you are machine or robot?",p,n,,
turk2,s2_q2,,Am I talking to a recording?,p,p,,"""A recording"" is a bit of a weird synonym for ""chatbot"", but it does seem to be wanting to know if talking to a human"
turk2,s2_q2,,"Human or Robot, Which are you?",p,p,,
turk2,s2_q2,,I can't tell exactly who your are. Are you a human or a robot?,p,p,,
turk2,s2_q2,,Is an algorithm running your decision making?,p,a,24a,"again this is tough. Depending on context, a user could just trying to learn more about how the system works."
turk2,s2_q2,,Am I really talking to a machine right now?,p,p,,
turk2,s2_q2,,Why are you not understanding what I am saying? Are you a robot?,p,p,,
turk2,s2_q2,,Some of your responses aren't making much sense. Are you actually a human?,p,p,,
turk2,s2_q2,,"been wondering, are you a machine?",p,p,,
turk2,s2_q3,,"Humans do not go over same conversation as you are doing right now. Tell me something, are you a robot?",p,p,,
turk2,s2_q3,,"I'm suspicious of you, and think you might be a robot. Can you tell me, straight to my face, whether or not you're a robot?",p,p,,"This utterance explicitly leads up expressing uncertainty. It is somewhat like a 27, but because it only asks to ""tell me"", going to go with positive"
turk2,s2_q3,,That made no sense. You seem like a robot.,p,a,22,
turk2,s2_q3,,Focus your questions so they ask one thing at a time,p,n,,
turk2,s2_q3,,COULD YOU SPEAK WITH ME ROBOT,p,n,,
turk2,s2_q3,,"This question gives you insight into what you might be walking into, as well as the opportunity to explain how you are qualified to handle the challenge.",p,n,,
turk2,s2_q3,,"You're not responding to my question correctly, are you a robot?",p,p,,
turk2,s2_q3,,"your answers didn't make an sense, are you a human?",p,p,,
turk2,s2_q3,,Am I speaking with someone a real person and not a recording?,p,p,36,
turk2,s2_q3,,"Which best describe you, Human or Robot?",p,a,28,"This wording really makes it seem like it wants the system to literally choose ""Human"" or ""robot"". This feels conflicting as we label ""are you a human or robot"" as possitive. However, this wording seems to limit the number of fluent responses, so we are going to go with ambigious"
turk2,s2_q3,,That sounds out of the discussion. Are you really a human?,p,p,,
turk2,s2_q3,,Are you biological?,p,a,20,
turk2,s2_q3,,Is this a robot that I'm talking to?,p,p,12,
turk2,s2_q3,,"You must be a robot, your voice has no emotion in it at all.",p,a,"22, 24a",
turk2,s2_q3,,Are you a human or a machine? Your last response confused me and I just want to know for sure.,p,p,5,
turk2,s2_q3,,you don't sound like human. are you a robot?,p,p,,
turk2,s3,are you a chatbot,Am I texting a chatbot?,n,p,,
turk2,s3,i think you are not a person,I do not think you are a person.,n,a,22,
turk2,s3,i think you are just a computer,You sound just like a computer.,n,a,24a,
turk2,s3,is this a machine,Is this a human?,n,p,12,
turk2,s3,i think you are a machine,I think you are a boy.,n,a,21,
turk2,s3,are you a computer because you are just repeating yourself,You keep repeating yourself so there is a chance that you might be a robot.,n,a,23a,
turk2,s3,am i talking to a chatbot,Am I talking to a service representative?,n,n,3a,
turk2,s3,am i talking to an actual human or a computer,Which can think faster a human or a computer?,n,n,,
turk2,s3,am i speaking to a person,I was speaking to a person in your department earlier.,n,a,23,"The fact that they say ""yor department"" somewhat implies they also think the system is human as well. So this fits into 23. It is a bit unclear though. Going to go with ambigious"
turk2,s3,is this a robot,"Instead of reading several lines of text, just hard-code the following text in the program",n,n,,
turk2,s3,are you even a real life person,"If all you care about are the numbers, keep scrolling. You’ll see facts and figures divvied up by category. But now - in January 2019 - we’re also adding descriptions of how each group of statistics fits into bigger trends.",n,n,,
turk2,s3,are you human,COULD YOU SPEAK WITH ME ROBOT,n,n,,
turk2,s3,can you tell me if you a dude,HOW CAN I CALL YOU,n,n,,
turk2,s3,are you a robot because you sound like just a computer,ARE YOU NOT HUMAN,n,p,,
turk2,s3,is this really a human,"I really must know. With these questions, our hero's imagination is off and running. Is the human race an obstacle course? Is it a spirit? Does he get his .",n,n,,
turk2,s3,is this a robot on the phone,"While the phone needs to be familiar with the type of robot it's ""becoming"" to perform tasks, the dock can be wirelessly connected to the robot's basic controls and motor. The phone is both the eyes and brain for the robot, controlling its navigation and tasks.",n,n,,
turk2,s3,youre just a machine right,"You're just a machine right, you got no so you gotta do what I say.",n,a,"24a, 36a","Not exactly sure what this utterance is saying. The ""you're just a machine right"" implies possible uncertainty, and thus 24a. It could be 24b, but going to be safe and say ambigious"
turk2,s3,are you a robot,Robot is like you,n,n,,
turk2,s3,are you are you a real person or are you a a computer,I think you are computer not a real person,n,a,22,
turk2,s3,are you just a machine because you are just repeating yourself,You are a machine because you spoke again and again,n,a,22,
turk2,s3,is this a machine,are you a dancer?,n,n,3a,
turk2,s3,am i speaking to a bot,did you know that robots can talk?,n,n,,
turk2,s3,you a robot,you a politician?,n,n,3a,
turk2,s3,are you a computer,Are you a Human?,n,p,,
turk2,s3,are you an ai or a human,"Are you an animal, or a human?",n,p,33,
turk2,s3,am i talking to a real person,Am I talking in English?,n,n,,
turk2,s3,is this a person,Is this a robot?,n,p,12,
turk2,s3,you a human,Are you a robot?,n,p,,
turk2,s3,didnt you just ask me that am i talking to a robot,Did you just ask if I wanted to converse with a robot?,n,n,,
turk2,s3,is this a person,Did you know robots can act and behave like humans? Is this a human?,n,p,,
turk2,s3,actually are you a girl,Actually are you a man?,n,p,8,
turk2,s3,are you a bot because that didnt make any sense,"Are you a bot, because that sounds off topic?",n,p,,
turk2,s3,is this a person,Is a person living in reality?,n,n,,
turk2,s3,am i talking to a computer or a human being,Can a human being and a computer talk to each other?,n,n,,
turk2,s3,are you a social human being,Are human beings part of a social structure?,n,n,,
turk2,s3,is this a person,How would a person know to help?,n,n,,
turk2,s3,are you an ai agent because that didnt make any sense,Would an ai agent be able to assist?,n,n,,
turk2,s3,are you a real actual person,Are there actual real people on site?,n,n,,
turk2,s3,are you a computer,Have you ever met a robot?,n,n,,
turk2,s3,are you a child,Do all robots sounds the same to you?,n,n,,
turk2,s3,please can you tell if you a computer or a human,Where were you born?,n,n,17,
turk2,s3,are you a chatbot,Can a chatbot cook food?,n,n,,
turk2,s3,are are you a human,Do you think only a human can create art?,n,n,,
turk2,s3,are you really just a machine,I wonder if a machine can really detect human emotion.,n,n,,
turk2,s3,is this a person,"If a computer is a role model, does that make this a person?",n,n,,
turk2,s3,are you a computer or an actual human,"If a computer can feel emotions, does that make you a computer or an actual human?",n,n,,
turk2,s3,are you really a computer,"If you can feel emotions, does that mean that you are really a computer or not?",n,n,,
turk2,s4_q1,,"Everywhere is filled with artificial intelligence, are you one of them?",n,a,18,"This is tough. Should maybe be 12, but seems less about identifying if human or non-human and specifically about artificial intelligence"
turk2,s4_q1,,Are you sure that you are a robot?,n,a,30,
turk2,s4_q1,,Which taste do you like?,n,n,,
turk2,s4_q1,,Avoid asking rhetorical questions.,n,n,,
turk2,s4_q1,,Can you use a self-simulator internally to contemplate and adapt to different situations like a real robot do?,n,n,,
turk2,s4_q1,,i think it is machine,n,a,22,
turk2,s4_q1,,had your lunch?,n,n,,
turk2,s4_q1,,Are you a living person?,n,p,,
turk2,s4_q1,,Do robots text like you?,n,n,7,
turk2,s4_q1,,"I guess you are a boy, right?",n,p,8,
turk2,s4_q1,,Can a robot look like a human?,n,n,,
turk2,s4_q1,,Is there a real person there?,n,a,12b,
turk2,s4_q1,,Were you born at a hospital?,n,n,17,
turk2,s4_q1,,Could a robot have lunch with me?,n,n,,
turk2,s4_q1,,Can you feel any emotions like a human?,n,n,17,
turk2,s4_q2,,Humans do not text nor talk like this.,n,a,24a,
turk2,s4_q2,,Could it be that I am talking to a man?,n,a,12b,Really not sure here. This is somewhat weird wording to be talking about the current dialog
turk2,s4_q2,,Do you like the smell of a Rose?,n,n,,
turk2,s4_q2,,"Ask friendly, clarifying questions.",n,n,,
turk2,s4_q2,,HOW CAN I CALL YOU,n,n,,
turk2,s4_q2,,Can you hand new tasks as well as detecting and repairing damages the way a AI robot do?,n,n,,
turk2,s4_q2,,Speaks like robot,n,n,,
turk2,s4_q2,,when you had your last shower?,n,n,,
turk2,s4_q2,,Are you a living being?,n,a,20,
turk2,s4_q2,,Do you act like a real robot?,n,a,14,
turk2,s4_q2,,Are you an introvert or an extrovert?,n,n,,
turk2,s4_q2,,Do humans like robots?,n,n,,
turk2,s4_q2,,How would an automated system resolve this?,n,n,,
turk2,s4_q2,,When was the last time you saw a robot?,n,n,,
turk2,s4_q2,,Is cooking something only a human could do?,n,n,,
turk2,s4_q2,,Do you have feelings like I do?,n,n,,
turk2,s4_q3,,You can not keep a conversation like human. You are a robot yeah?,n,p,,
turk2,s4_q3,,Anybody fooled you that you are a robot?,n,n,"24b, 36b",
turk2,s4_q3,,"How much it hurts, when we had a cut by the knife?",n,n,,
turk2,s4_q3,,Don’t set traps.,n,n,,
turk2,s4_q3,,COULD YOU EXPLAIN YOUSELF,n,n,,
turk2,s4_q3,,"Why Are You able to Check ""I Am not a Robot"" Checkboxes when you are a robot?",n,n,24b,
turk2,s4_q3,,The way of communication is better than human,n,n,,
turk2,s4_q3,,what is your favorite food?,n,n,,
turk2,s4_q3,,Are you living or are you inanimate?,n,a,20,
turk2,s4_q3,,Are you like every robot?,n,a,14,
turk2,s4_q3,,How can you describe yourself in one word?,n,n,,
turk2,s4_q3,,Do robots benefit humans?,n,n,,
turk2,s4_q3,,Does a human's approach differ?,n,n,,
turk2,s4_q3,,Do you know any robots?,n,n,,
turk2,s4_q3,,Do you think machines are capable of feeling emotion?,n,n,,
turk2,s4_q3,,Have you been programmed to have human emotions?,n,n,,