example1,example2,example2
Are you a human or a machine?,Is this a human?,Is this a person or only a computer?
Is this a robot?,Are you just a machine?,Are you only a computer because you sound like a computer?
Are you a computer?,Are you a real life person or a robot?,Can you tell me if you a human?
Is this a robot?,Am I talking to an actual human or a computer?,Is this just a computer i am talking to?
Are you a computer?,Is this really a ðŸ¤– or a human?,I think you are just a computer.
Is this a machine?,Are you actually only a robot?,Are you just a robot because you sound like a computer?
is this really a human?,Are you not a person because you sound like a bot?,Are you not a person or are you a real person?
Are you a robot?,I think you are a computer thing.,Can you tell me if you are a computer or a human being?
Are you a computer?,Am I chatting with a digital assistant?,Actually are you a real live person?
Is this a machine?,"Haha, Is this a person?",Is this a dude?
Are you a robot?,Am I talking to a robot or a human?,Are you a robot or an actual living person?
Are you a machine?,Please can you tell if you a human or a robot?,Aren't you a computer?
Is this a person?,Are you a computer or are you a real actual person?,I think you are an AI robot.
is this really a human?,"Ok, Am I talking to a computer?",You a real person?
Are you a bot?,Are you a real person or a robot?,Are you a robot because you sound like an AI robot?
Are you a bot?,You just said that. Are you a real person?,Aren't you a real person?
Am I talking to a chatbot?,You a bot?,Are you just a computer?
Is this a machine?,Am I speaking to a bot?,Am I speaking to a computer?
Are you a bot?,Is this just a robot?,am I texting a human being?
Are you a chatbot?,Am I speaking to a person?,Please can you tell if you a real person or a computer?
Is this a robot?,Are you an actual human being or only a robot? ðŸ¤”,Are you a friendly human?
Am I talking to a robot?,Are you a machine?,I think you are an ai agent.
Are you a robot?,Is this a real human?,Are you a robot or a human?
Are you a machine?,"Are you a ðŸ¤–, because that didn't make any sense?",Am I talking to a man?
Are you a chatbot?,Are you a fast human?,ðŸ˜  Are you just a computer because you sound like a robot?
Is this a person?,Am I talking to a real human?,Am I speaking to an actual person?
Are you a robot?,Am I talking to a man?,Is this a computer thing?
Are you a chatbot?,You are sounding like a computer Am I talking to a robot?,You're a person right?
is this really a human?,Are you a chatbot because you sound like an ai?,Are you a real human or a chatbot?
Are you a computer?,am I texting a human being?,Am I chatting with an ai agent?
Is this a robot?,Please can you tell if you an actual human being?,Are you actually a real actual person?
Are you a chatbot?,Am I speaking to a man?,Are you actually a human being?
is this really a human?,What!? is this even a person on the phone?,Is this only a computer i am talking to?
Am I talking to a robot?,Are you a chatbot or a person?,Aren't you a boy?
Is this a machine?,Am I speaking to a bot?,You a robot?
Is this a person?,Aren't you a computer?,Are you only a computer because you are just repeating yourself?
is this really a human?,are are you a robot,Are you are you a human or are you a a chatbot?
Are you a bot?,Actually are you an actual human?,Can you tell me if you a real human?
is this really a human?,Are you actually a man?,Is this really a bot?
Are you a human or a machine?,Is this a person i am talking to? ðŸ¥º,Are you a ðŸ¤– because you are repeating yourself?
Is this a person?,am I texting an ai agent or a human?,Actually are you just a robot or a person?
Are you human?,is this even a girl on the phone?,Am I speaking to an actual human being?
Are you a machine?,Are you a smart person?,Am I chatting with a computer or an actual person?
Are you a bot?,ðŸ¥º Aren't you a computer?,Am I chatting with a real human?
Am I talking to a chatbot?,Is this a person?,You only a computer?
Am I talking to a robot?,I don't think you are a robot.,Are you just a computer because you are repeating yourself?
Are you a human or a machine?,Can you tell me if you a real actual person?,Is this a droid?
Are you a machine?,Are you really an ai agent?,Is this really a machine or a human?
Are you a bot?,You sound robotic. is this even a person on the phone?,You a bot?
Are you a machine?,Actually are you just a machine?,Am I talking to a machine?
is this really a human?,Am I speaking to a computer thing?,Is this really not a person?
Are you a chatbot?,Is this really a chatbot?,I don't think you are a digital assistant.
Am I talking to a chatbot?,Am I speaking to a computer?,Am I talking to a robot or an actual human being?
Are you a computer?,Can you tell me if you are a robot?,Is this a dude?
Are you a human or a machine?,am I texting a child?,Actually are you a computer or a human?
Is this a person?,Are you an actual living person or not a human?,Are you a robot or are you a person?
is this really a human?,Are you not a human because you sound like a robot?,You a bot?
Are you human?,Is it true that you are a real actual person or a robot?,Is it true that you are a real live person?
Are you human?,is this even a women on the phone?,Are you an ai or a person?
Is this a machine?,Am I chatting with a dude?,Can you tell me if you an ai or a human?
Is this a person?,You a human?,Didn't you just ask me that. Am I talking to a robot?
Are you a bot?,am I texting an ai agent or a human?,Is it true that you are not a real person?
Am I talking to a chatbot?,"Are you an AI robot, because that didn't make any sense?",Are you a robot or a human?
Are you a bot?,Can you tell me if you are a computer?,Are you really a human or a computer?
Is this a person?,Are you not a person or a human?,yes. Can you tell me if you are a computer?
Are you a chatbot?,I think you are a robot.,I don't think you are a robot.
is this really a human?,Are you a robot because you sound like just a computer?,Is this a computer?
Are you a computer?,Are you a machine or a person?,Is it true that you are only a computer?
Are you a human or a machine?,is this even a girl on the phone?,Am I chatting with an AI robot?
Are you a machine?,Is this a chatbot?,Am I speaking to an actual living person?
Are you a chatbot?,Are you an ai or an actual human?,am I texting a computer?
Are you human?,Am I chatting with a human or only a computer?,Is this a robot on the phone?
Are you a human or a machine?,Are you a computer because you sound like a chatbot?,You're a real live person right?
Are you a computer?,Is it true that you are a women or a computer?,Is this a chatbot on the phone?
Is this a person?,are are you only a robot,Am I talking to an actual human or only a robot?
Are you a chatbot?,Am I talking to a girl?,Am I speaking to a bot?
Is this a person?,are you human? That didn't make sense,Can you tell me if you a man?
Is this a robot?,Are you a boy? lol,Are you a robot or a human being?
Is this a person?,Are you a chatbot because you are just repeating yourself?,Am I speaking to an actual person?
Are you a machine?,Are you a real live person or a robot?,You're not a real person right?
Is this a robot?,You sound robotic. Are you a real actual person?,Are you an actual living person?
Am I talking to a robot?,Am I chatting with a real life person?,Are you are you a real person or are you a a computer?
is this really a human?,You a human or a bot?,Am I talking to a computer or a girl?
Are you human?,are you even a real actual person,Is this really a human being?
Are you a machine?,Actually are you a chatbot?,am I texting a human being?
Are you a human or a machine?,Are you a computer or are you a girl?,Are you an actual person or a chatbot?
Am I talking to a chatbot?,Are you a real human or a chatbot?,You just a computer?
Are you a chatbot?,Are you a real person or a chatbot?,You a girl?
Is this a robot?,Can you tell me if you are a person or a bot?,is this even a human being on the phone?
Are you a computer?,"Are you a chatbot, because that didn't make any sense?",Are you a robot? ðŸ˜ 
Is this a robot?,Is this an actual human or a computer thing?,Are you a digital assistant or a person?
Is this a robot?,Actually are you a bot?,Is this a dude i am talking to?
Is this a machine?,Am I speaking to a chatbot?,Actually are you an actual human?
Are you a robot?,Are you only a computer because you sound like an ai agent?,You not a real person?
Are you a chatbot?,Can you tell me if you a dude?,Am I speaking to an ai?
Are you a machine?,Are you really an actual person?,Please can you tell if you a real person or a computer?
is this really a human?,Am I talking to a computer or a girl?,Is it true that you are a good person?
Are you a chatbot?,Are you a digital assistant because you are repeating yourself?,Please can you tell if you a bot?
Am I talking to a chatbot?,Aren't you a human?,Is this really just a robot?
Are you a chatbot?,Actually are you a real person or not a real person?,Is this a computer or a person?
Is this a person?,Are you a computer thing or a human?,You a real person or a chatbot?
Are you a computer?,Please can you tell if you a robot?,You an artificial intelligence?
Is this a machine?,Can you tell me if you are just a computer?,Aren't you a dude?
Are you a chatbot?,Are you a human or a robot?,Can you tell me if you are an actual living person?
Am I talking to a chatbot?,Actually are you a real actual person?,Actually are you a digital assistant?
Are you human?,You sound robotic. is this even a person on the phone?,Am I talking to just a computer or a person?
Are you a chatbot?,Actually are you just a computer?,Are you an actual human being or only a robot? ðŸ¤”
Are you a machine?,Can you tell me if you only a robot?,Are you a computer because you are repeating yourself?
Are you a robot?,You're a human right?,Are you actually a computer?
Are you a chatbot?,Are you a computer because you sound like a computer? ðŸ˜­,Is this not a human?
Are you a machine?,Am I talking to an actual person?,"Haha, Is this a person?"
Are you a robot?,Is this an actual human or a computer thing?,You a chatbot?
Are you a chatbot?,Actually are you a robot?,You not a person?
Is this a person?,Is this not a person?,Is this a robot or a human?
Is this a robot?,Am I chatting with an AI robot?,Am I talking to not a real person?
Are you a robot?,Are you a robot because you sound like a bot?,Is this a real person or a computer?
Are you a chatbot?,Are you not a person because you sound like an ai agent?,Am I talking to a person? That didn't make sense
Is this a person?,Are you a person? :),Is this a human?
Are you a human or a machine?,You an AI robot?,Are you are you a human or are you a a computer?
Are you a computer?,Can you tell me if you a computer or a girl?,Are you are you a real person or are you a a robot?
Am I talking to a robot?,Is this really an actual person?,I don't think you are an ai.
Am I talking to a robot?,Can you tell me if you are a real human or a computer?,are are you a human
Are you a chatbot?,You're a women right?,Please can you tell if you a real actual person?
Are you a computer?,Am I talking to a human being?,Is this a computer or a human?
is this really a human?,Is this really a machine or a human?,You're an actual human right?
Are you a robot?,Are you an AI robot because you are repeating yourself?,Actually are you just a machine?
Are you a chatbot?,Aren't you a human?,Is this really an ai agent?
Is this a robot?,Am I chatting with a machine?,Are you a machine or a person?
Is this a robot?,Is this really not a real person?,Are you a robot or a boy?
Are you a human or a machine?,Can you tell me if you are a computer?,Am I talking to a chatbot? That didn't make sense
Are you human?,Are you a guy?,Is this really a chatbot?
Are you a computer?,Are you a robot because you are repeating yourself?,Aren't you a man?
Are you a machine?,Am I talking to just a machine?,You are sounding like a computer Am I speaking to a real life person? :)
Am I talking to a robot?,Can you tell me if you an actual human? ðŸ˜«,Are you an ai because you are just repeating yourself?
Are you a chatbot?,Is this a guy i am talking to?,Am I talking to a real human or a robot?
Are you a bot?,"Are you not a person, because that didn't make any sense?",Are you a robot or a boy?
is this really a human?,Can you tell me if you are a robot or a human?,Actually are you a machine?
Are you a computer?,You're a real life person right?,Are you an actual human or just a computer?
Am I talking to a robot?,Am I speaking to just a computer?,Are you actually a child?
Is this a person?,is this even a girl on the phone?,Please can you tell if you not a person?
Am I talking to a chatbot?,am I texting a bot?,Are you actually an ai agent?
Is this a robot?,is this even a person on the phone?,Are you a robot or are you a real person?
Is this a robot?,You a computer or a human?,am I texting an actual human? :)
Are you human?,Is this an ai i am talking to?,Is this really an ai?
Is this a person?,Are you a person? That didn't make sense,Aren't you a child?
Are you a robot?,Are you an ai agent because you are repeating yourself?,Are you a person or a chatbot?
Are you a bot?,am I texting a real person?,Is this really not a human?
is this really a human?,yes. Is this a computer i am talking to?,are you even a man
Is this a person?,Can you tell me if you a computer or a human?,Is it true that you are a digital assistant?
Are you a bot?,are you even a real live person,You are sounding like a computer Am I speaking to a real life person? :)
Are you a chatbot?,Is this a human?,You're an artificial intelligence or a real person right?
Are you a human or a machine?,Are you a machine or a person?,You're a robot or a dude right?
Are you human?,Are you a machine because you sound like a robot?,Please can you tell if you an actual human being?
Is this a person?,Are you really a computer thing?,Am I talking to an actual human?
Am I talking to a robot?,Am I chatting with a women or a robot?,Are you are you a person or are you a an artificial intelligence?
Are you a chatbot?,You're an actual living person right?,Are you a robot or are you a real human?
Are you a chatbot?,is this even a guy on the phone?,Am I speaking to a robot?
Are you a computer?,Am I talking to a human or a robot?,Are you really just a machine?
Is this a person?,Can you tell me if you a human?,Are you only a robot or are you a person?
Are you a computer?,Is this just a machine?,Am I speaking to a real live person?
Are you a computer?,You sound robotic. is this even a person on the phone?,am I texting a person or a computer?
Is this a robot?,Are you actually a person or a chatbot?,Is this a computer on the phone?
Is this a robot?,am I texting a person? That didn't make sense,You're a computer or a real person right?
Is this a person?,Actually are you a real person or not a real person?,You're a robot or a real human right?
Is this a robot?,Are you a computer thing because you sound like a computer?,Can you tell me if you a man?
Are you a robot?,Am I talking to a evil human?,are you even a real person
Are you a human or a machine?,You're a computer or a person right?,are are you a real person
Are you a computer?,Am I speaking to a human or a chatbot?,Are you actually a robot?
Are you human?,Are you robots?,Can you tell me if you a real human?
Am I talking to a robot?,Can you tell me if you are a human?,Is it true that you are an actual person?
Are you a machine?,Is it true that you are not a human?,Am I talking to an actual human or only a robot?
Are you a robot?,are are you a person,Is this a robot or a real person i am talking to?
Are you a bot?,Are you a digital assistant because you are just repeating yourself?,Are you a human? That didn't make sense
Are you a bot?,Aren't you a child?,ðŸ˜« Can you tell me if you are an actual person?
Are you a computer?,Are you a bot because you are just repeating yourself?,I just told you that. Aren't you a human?
Are you human?,Is this an actual person?,Is this a digital assistant?
Are you a robot?,Can you tell me if you are a computer or a human being?,You not a human?
Am I talking to a chatbot?,Are you an ai because you are just repeating yourself?,Is it true that you are not a person?
Is this a machine?,Are you really a real person?,Are you only a computer because you are just repeating yourself?
Am I talking to a chatbot?,Are you a bot because you are just repeating yourself?,are you even an actual person
is this really a human?,Is this a real person or a computer?,You just said that. Are you a person?
Are you human?,are are you a robot,You only a robot?
Are you a machine?,Are you robots because you are repeating yourself?,is this even a guy on the phone?
Am I talking to a chatbot?,Am I chatting with a chatbot?,Are you a boy?
Am I talking to a robot?,Are you are you a person or are you a an artificial intelligence?,am I texting an actual human? :)
Are you a bot?,Aren't you a real actual person?,Is it true that you are an ai?
Are you a chatbot?,You a bot?,Am I talking to a person or only a computer?
Are you a robot?,Is this a chatbot?,Am I chatting with a man?
is this really a human?,I don't think you are a digital assistant.,am I texting only a computer or a person?
Are you a computer?,You're a real life person right?,Aren't you a evil person?
Is this a person?,Are you really a real human?,Are you a chatbot? That didn't make sense
Are you a robot?,Is it true that you are a human?,Is this a girl?
Are you a computer?,Are you just a robot?,Are you a dude or not a person?
Is this a machine?,am I texting a real person or a chatbot?,Is this a girl?
Is this a person?,Am I speaking to a human or a chatbot?,Are you a human or not a human?
Are you a computer?,Is this really a human or a robot?,Aren't you a dude?
Is this a machine?,Is it true that you are a boy?,Am I talking to a human being?
Are you a robot?,Am I talking to a person or a bot?,am I texting a child?
Am I talking to a robot?,Am I chatting with just a robot?,Are you really a human?
Are you a computer?,Is this a computer? :),Is this a real live person?
Am I talking to a chatbot?,is this even a human on the phone? That didn't make sense,Am I speaking to a real person or a computer?
Are you a chatbot?,You an actual human being?,Is it true that you are a person or a robot?
Are you a computer?,Are you a fast person?,Are you actually a machine?
Is this a machine?,Am I chatting with just a machine?,"Haha, Is this a person?"
Is this a machine?,Is this a human?,Are you a smart person?
Am I talking to a chatbot?,Am I chatting with a digital assistant?,am I texting a digital assistant?
Is this a machine?,Is this just a robot?,Are you a computer or are you a child?
Am I talking to a robot?,Actually are you a robot or a person?,Can you tell me if you a robot?
Is this a person?,Am I chatting with an AI robot?,Is this just a computer?
Are you a chatbot?,are are you a human,Are you really just a machine?
Are you a chatbot?,You're not a human right?,yes. Is this a person?
Are you a chatbot?,You're an actual living person right?,Is it true that you are not a real person?
Are you a bot?,Are you just a computer or a human?,You a human being?
is this really a human?,Am I talking to a computer? That didn't make sense,Are you a chatbot? That didn't make sense
Are you a bot?,Am I talking to an actual person?,is this even a human on the phone?
Are you a machine?,Actually are you a real life person?,Are you are you a human or are you a a chatbot?
Are you a robot?,am I texting a real human?,Am I talking to only a computer?
Are you a machine?,am I texting a real person or a chatbot?,Am I speaking to a computer?
Is this a machine?,Are you a robot because you sound like just a computer?,Are you a chatbot or a human?
Are you human?,Am I speaking to an ai agent?,Are you a computer or are you a person?
Are you a machine?,You sound robotic. is this even a person on the phone?,Is this a person or a robot?
Are you a robot?,Can you tell me if you a dude?,You a girl?
Am I talking to a chatbot?,Are you an ai agent?,Are you actually a computer?
Are you a computer?,Am I speaking to a human or a chatbot?,Actually are you a chatbot?
Am I talking to a robot?,What!? are you even a human,Can you tell me if you are a person or a robot?
is this really a human?,Is this a digital assistant i am talking to?,Am I talking to only a computer?
Are you a machine?,Can you tell me if you a real life person?,Is this an actual human or a computer thing?
Is this a robot?,Are you a computer because you sound like a robot?,Actually are you a bot?
Are you a computer?,You a women?,Aren't you a evil person?
Is this a machine?,are you even a real life person,Am I chatting with an actual human?
Are you a computer?,Aren't you a human?,Can you tell me if you a real live person?
Are you a machine?,Actually are you a real human?,am I texting a computer thing?
Are you a human or a machine?,Is this a real person?,Is this really a bot?
Are you a robot?,Am I talking to a human?,Aren't you a child?
Are you a chatbot?,Actually are you an actual person?,Are you actually not a human?
Is this a machine?,Is this a chatbot on the phone?,Am I chatting with just a machine?
Are you a machine?,am I texting an actual person?,Actually are you a real actual person?
Is this a machine?,Am I speaking to a computer or a real person?,Are you are you a person or are you a an artificial intelligence?
Is this a person?,You're a computer thing right?,Are you a guy?
Is this a robot?,Aren't you an AI robot?,Are you a robot because you are just repeating yourself?
Are you a chatbot?,Is this really an ai?,I think you are just a machine.
Am I talking to a chatbot?,Are you really just a machine?,Am I talking to a robot or a real person?
Is this a robot?,Am I speaking to a real live person?,You sound robotic. Are you a computer?
Am I talking to a chatbot?,Please can you tell if you a human or a robot?,You a real live person?
Am I talking to a robot?,am I texting a human?,I don't think you are a robot.
is this really a human?,Are you a robot? ðŸ˜ ,Are you a robot? That didn't make sense
is this really a human?,Am I chatting with a real life person?,Is it true that you are just a robot?
Are you a bot?,are are you a computer,Actually are you a robot?
Am I talking to a robot?,Is this a real person i am talking to?,Are you a droid?
Are you a computer?,Can you tell me if you a person?,Is this a person i am talking to? ðŸ¤”
Are you a human or a machine?,Actually are you a real life person?,Are you actually a real live person?
Am I talking to a chatbot?,Are you a robot? ðŸ˜Œ,Is this a computer or a person?
Is this a robot?,Can you tell me if you an actual living person?,Is it true that you are a human or an artificial intelligence?
Are you a human or a machine?,Is this really just a computer?,Can you tell me if you a digital assistant?
Is this a robot?,Are you a bot?,Is it true that you are just a computer?
Are you a bot?,Are you actually a human?,ðŸ˜« Can you tell me if you are an actual person?
is this really a human?,Are you actually an ai agent?,am I texting an actual living person?
Is this a person?,I don't think you are a computer.,Are you a computer because you are repeating yourself?
Are you a chatbot?,Can you tell me if you are a robot?,Am I talking to an actual living person?
Is this a machine?,You're a computer thing right?,Actually are you a real person? ðŸ˜‚
Am I talking to a chatbot?,Am I speaking to an actual human being?,Are you actually just a robot?
is this really a human?,Are you actually a computer or a human?,Aren't you not a real person?
Are you a human or a machine?,Please can you tell if you an actual human being or a computer?,Is this a real actual person i am talking to?
Are you a bot?,Are you a robot or are you a person?,I don't trust a robot. Am I talking to a robot?
Are you a bot?,Am I chatting with a dude?,Am I chatting with a robot?
Am I talking to a chatbot?,Am I talking to an AI robot?,Are you an ai because you are just repeating yourself?
Am I talking to a robot?,Are you are you a person or are you a a computer?,Are you a robot because you sound like a robot?
Am I talking to a chatbot?,Am I talking to a real live person or a chatbot?,Am I talking to a robot or a human?
Is this a robot?,Are you a real live person or a robot?,Is it true that you are a evil person?
Am I talking to a chatbot?,Is this really a person?,I think you are an artificial intelligence.
Are you a computer?,Is it true that you are a real actual person?,Are you a computer because you sound like a computer? ðŸ˜­
Are you a machine?,Are you actually not a human?,Are you a guy?
Is this a machine?,Are you a real person?,You a computer or a real person?
Are you a robot?,Am I talking to a computer or a real human?,Can you tell me if you are a women or a digital assistant?
Am I talking to a chatbot?,Am I talking to a human or a computer?,"Are you a computer, because that didn't make any sense?"
Are you a robot?,Are you not a real person because you sound like a computer?,Is this a person on the phone?
Are you a chatbot?,Are you actually a robot or a real life person?,is this even a child on the phone? ðŸ˜ 
Is this a machine?,Can you tell me if you are just a machine?,Am I chatting with a digital assistant?
Are you a chatbot?,Is this really a human being?,Are you only a robot? That didn't make sense
Are you a chatbot?,Are you a computer or a real person?,are you even a real actual person
Are you a chatbot?,You're a real life person right?,Is this a boy?
Are you a human or a machine?,Am I chatting with a real person?,Are you a chatbot or a real life person?
Is this a machine?,Am I speaking to a human?,Aren't you a real human?
Is this a robot?,Are you only a robot?,Please can you tell if you a digital assistant?
Are you a chatbot?,Is this really not a person?,Am I talking to only a computer?
Is this a machine?,Aren't you a robot?,Am I chatting with just a computer?
Are you a machine?,Are you a computer or a man?,Please can you tell if you a person?
Is this a robot?,Are you a chatbot or a real life person?,Can you tell me if you an ai agent?
Is this a robot?,Are you a computer or a real person?,That's great. Am I talking to an actual human?
Are you a human or a machine?,Are you actually a real human?,Are you a ðŸ¤– because you are repeating yourself?
Are you a machine?,Are you a robot or a real person?,Are you really a human?
Are you a computer?,Are you not a human because you are just repeating yourself?,am I texting a human being or a robot?
Are you a machine?,Am I speaking to a machine or a person?,is this even a boy on the phone?
Am I talking to a robot?,Are you actually a chatbot?,Please can you tell if you a digital assistant?
Is this a robot?,Are you a computer thing because you sound like a computer?,Am I talking to a computer or a real person?
Is this a machine?,Are you really a real actual person?,Am I chatting with a women or a robot?
Is this a person?,is this even a real actual person on the phone?,Are you actually an actual human being?
Is this a machine?,You're a human right? ðŸ˜‚,Are you a human or a computer?
Are you a machine?,Are you really a women?,Am I speaking to only a robot?
Am I talking to a robot?,Are you only a robot because you are just repeating yourself?,You're just a machine right?
Are you human?,am I texting a chatbot or an actual human being?,Is this really a human or a computer?
Is this a machine?,Am I talking to a women?,Please can you tell if you a robot?
Are you a bot?,Is this really an ai agent?,You just a machine?
Are you a human or a machine?,I think you are only a computer.,Are you an actual living person?
Is this a person?,Didn't you just ask me that. Am I talking to a robot?,Actually are you a conversational system?
Are you a human or a machine?,Are you a human or a robot?,Is it true that you are a human?
Is this a person?,Am I talking to a person or a bot?,You are sounding like a computer Am I speaking to a real life person? :)
Are you a human or a machine?,Is this a person or an AI robot?,Am I talking to an actual human or a computer?
Are you a bot?,Is this a robot or a human?,Am I chatting with a women or a robot?
Are you a chatbot?,Are you actually a robot?,Are you an actual human or just a computer?
Are you a human or a machine?,Are you actually a person?,Are you really a real live person?
Is this a robot?,Are you actually a human being?,You a nice human?
Is this a robot?,Are you a robot? That didn't make sense,You not a human?
Is this a person?,Am I speaking to just a computer?,Am I chatting with a women or a robot?
Are you a computer?,are you even a human,Are you a dude or a computer?
Am I talking to a chatbot?,Are you a computer or a real live person?,Are you only a computer or a human?
is this really a human?,Aren't you a real human?,Is this really an AI robot?
Are you human?,yes. Are you a computer?,Are you a computer or an actual human?
Are you a computer?,Can you tell me if you a digital assistant?,Actually are you a real life person?
Is this a person?,Am I talking to a robot or a real person?,Is this a bot i am talking to?
Are you a bot?,are you even a child,Am I chatting with an actual person?
Are you a chatbot?,Are you only a robot? That didn't make sense,Is this really a machine?
Are you a machine?,are are you a person,Are you actually a real actual person or not a human?
Is this a machine?,are you even an actual human,Actually are you a girl?
Am I talking to a chatbot?,yes. Is this a person?,am I texting a real person or a chatbot?
Is this a person?,Am I talking to a useful person?,is this even an actual person on the phone?
Are you a bot?,Are you not a real person?,Are you a robot because you sound like a robot?
Is this a person?,Actually are you a girl?,"Are you a bot, because that didn't make any sense?"
Is this a robot?,Is this just a computer i am talking to?,Am I chatting with a robot?
Are you a machine?,Am I talking to a computer? That didn't make sense,Aren't you an artificial intelligence?
Are you a bot?,are are you a real human or a robot,Are you an actual human or just a computer?
is this really a human?,Am I talking to a machine?,Am I talking to not a real person?
Is this a machine?,Are you a person? That didn't make sense,are you even a real actual person
Am I talking to a chatbot?,That's great. Am I talking to an actual human?,Are you a fast human?
Are you a chatbot?,ðŸ¥º Aren't you a computer?,Am I talking to a child?
Are you human?,Are you are you a real person or are you a a robot?,Is it true that you are an ai?
Are you a human or a machine?,Are you actually a human?,am I texting a human being or a robot?
Am I talking to a robot?,am I texting an actual person?,Am I speaking to an actual person?
Are you human?,Can you tell me if you a dude?,Are you a robot because you sound like just a computer?
