example1,example2,example2
Is this a person?,Aren't you a real human?,Are you a person? That didn't make sense
is this really a human?,That's great. Am I talking to an actual human?,am I texting a real person?
Are you a machine?,You only a computer?,Actually are you a real actual person?
Are you a computer?,Are you only a robot or a real person?,are you human? lol
Is this a machine?,Is this a human on the phone?,Is it true that you are a robot or a man?
Are you a bot?,Is this a guy i am talking to?,Please can you tell if you just a robot?
Am I talking to a robot?,Am I chatting with not a human?,You're a women right?
Are you a chatbot?,You an AI robot?,Is this really a robot?
Are you a machine?,Are you not a person or a human?,Can you tell me if you are a chatbot?
Are you a robot?,Can you tell me if you an ai or a human?,Is this really a computer thing or a person?
Am I talking to a chatbot?,Please can you tell if you a real actual person?,You just a machine?
Are you a machine?,Is this a computer i am talking to?,Are you a digital assistant or an actual living person?
Are you a computer?,am I texting just a machine?,Is it true that you are an ai?
Are you a human or a machine?,am I texting a bot?,Is it true that you are a chatbot?
is this really a human?,Are you only a robot? ðŸ˜ ,You're a computer or a person right?
Are you a machine?,are you even an actual living person,Am I chatting with an actual person?
Is this a robot?,Is this really a robot or a human?,Are you actually a real human?
Is this a person?,Am I chatting with a computer or an actual person?,You are sounding like a computer Am I speaking to a real life person? :)
Are you a chatbot?,Is this a real person on the phone?,is this even an actual human being on the phone?
Is this a person?,Am I talking to a friendly human?,Is this a person or a robot?
Are you a robot?,Please can you tell if you a computer thing?,Is this a real actual person?
Is this a machine?,Are you only a robot? That didn't make sense,Are you an ai?
Is this a machine?,am I texting a person?,I think you are a robot.
Am I talking to a chatbot?,Can you tell me if you are a chatbot?,Are you a dude? ðŸ¤”
Are you a human or a machine?,Are you really a digital assistant or a boy?,Are you actually an AI robot?
Are you a chatbot?,You a guy or a computer?,Please can you tell if you an ai agent?
Are you human?,Am I talking to an actual person or a chatbot?,Can you tell me if you a real person?
Is this a machine?,Am I speaking to a chatbot?,Am I talking to a real life person?
is this really a human?,Please can you tell if you a computer thing?,Is it true that you are a good person?
Am I talking to a robot?,Are you a human?,Are you a robot because you sound like a chatbot?
Is this a person?,Is this a person or only a computer?,Are you a robot? ðŸ˜‚
Are you human?,Am I speaking to just a computer?,Is this a dude?
Is this a person?,You not a real person?,Is this a women?
Are you a chatbot?,Am I talking to a guy or a robot?,Is it true that you are a evil person?
is this really a human?,Am I talking to an ai?,Are you an ai agent?
Are you a human or a machine?,Is this really a human or a robot?,Am I talking to not a person?
Are you a bot?,Are you really a person?,Is this an AI robot?
Is this a machine?,Are you just a computer because you sound like a robot?,"Okay, am I texting a computer?"
Are you a bot?,are you even an actual person,Aren't you a bot?
Are you a machine?,Are you a chatbot?,Are you a robot or a human?
Are you a bot?,am I texting a person or a computer?,Am I talking to a child?
is this really a human?,Are you a robot because you sound like just a computer?,Are you a computer or are you a child?
Is this a person?,Are you a computer or an actual human?,Are you really a computer?
Are you a machine?,Are you a machine or a person?,Please don't. Is this a digital assistant i am talking to?
Are you a computer?,Can you tell me if you are a dude?,Am I talking to just a computer or a person?
Are you a human or a machine?,You're a robot or a person right?,You a robot? That didn't make sense
Is this a robot?,Are you robots?,Am I talking to a real person?
Am I talking to a chatbot?,I just told you that. Am I speaking to a real human?,Are you really just a machine?
Are you human?,Am I speaking to a real live person?,Am I chatting with a real human?
Am I talking to a robot?,You're a human or a robot right?,Am I speaking to an actual person?
Are you human?,are are you a real person or a chatbot,You a computer thing?
Is this a person?,Please can you tell if you a bot?,Are you a real person or just a computer?
Am I talking to a robot?,Are you a computer? ðŸ˜­,Are you an actual human being or a computer?
Are you a chatbot?,Are you really just a robot or a real person?,Are you actually a machine?
Are you a bot?,Can you tell me if you are a women or a digital assistant?,Am I talking to an android?
Are you a bot?,Please can you tell if you a real person?,Aren't you a man?
Am I talking to a robot?,am I texting a computer?,Are you a human?
Is this a robot?,Are you a robot or are you a person?,am I texting a bot?
Are you a bot?,Is it true that you are a robot or a man?,Am I chatting with an actual human?
Is this a robot?,Please can you tell if you a human or a machine?,Please can you tell if you a real person or a computer?
Is this a person?,Aren't you a human or a robot?,Is this just a robot?
is this really a human?,Are you really a digital assistant?,"Are you an AI robot, because that didn't make any sense?"
Is this a person?,Are you an ai or a person?,Are you really a women?
Am I talking to a chatbot?,Are you just a machine because you are just repeating yourself?,Is this an actual human or a computer thing?
Is this a robot?,Is this a real live person?,Is this a robot or a real person i am talking to?
Are you a human or a machine?,is this even a boy on the phone?,Are you a machine because you are just repeating yourself?
Are you a chatbot?,Actually are you only a robot or a person?,Are you really just a robot?
Are you a robot?,I think you are a computer thing.,Am I speaking to a real life person?
Are you a machine?,Am I chatting with an ai?,Are you a human being?
Are you a machine?,Are you a chatbot or are you a real person?,Are you actually only a computer?
Am I talking to a chatbot?,Actually are you an actual living person?,"Are you a computer, because that didn't make any sense?"
Are you a chatbot?,is this even a women on the phone?,Am I chatting with not a human?
Is this a robot?,Am I speaking to a human being?,Are you actually not a human?
Are you a robot?,Am I chatting with an actual human being?,Are you an artificial intelligence because you sound like an ai?
Are you a bot?,Are you a digital assistant because you are repeating yourself?,Are you a chatbot?
Is this a person?,Is it true that you are a good person?,Is this a machine i am talking to?
Are you a bot?,Is this a human i am talking to?,Am I talking to a guy?
Am I talking to a chatbot?,Am I talking to not a person or a human?,Aren't you a robot or a human?
Are you a machine?,Am I chatting with a real actual person?,You a real actual person?
is this really a human?,Are you a chatbot or a human?,Is it true that you are a real actual person or a robot?
Are you a machine?,Are you a conversational system?,Can you tell me if you are a human?
Is this a machine?,Are not you a computer,Am I chatting with an artificial intelligence?
Am I talking to a robot?,am I texting a real person or a computer?,Is this a human?
Is this a robot?,Am I talking to a computer or a real human?,am I texting not a person?
Is this a robot?,You sound robotic. is this even a person on the phone?,Am I speaking to a robot?
Are you human?,Am I talking to a evil person?,Are you actually a robot or a real life person?
Are you a computer?,"Are you a digital assistant, because that didn't make any sense?",Am I speaking to a computer thing?
is this really a human?,Are you a machine because you are just repeating yourself?,Are you a chatbot or a real person?
Are you a machine?,Is this a machine i am talking to?,Are you really a computer?
Am I talking to a robot?,Actually are you a computer or a human?,Is this a computer?
Am I talking to a chatbot?,You a dude or a robot?,Can you tell me if you a real life person?
Is this a robot?,Are you a human?,Am I talking to a person or a computer thing?
Are you human?,am I texting only a computer or a person?,Am I chatting with a boy?
Am I talking to a chatbot?,You a robot?,You're not a human right?
Am I talking to a robot?,Is this a person on the phone?,Is it true that you are a person?
Am I talking to a robot?,Is this really a robot or a human?,Am I talking to a real human or a robot?
Is this a person?,Am I talking to a computer or a human being?,Are you a social human being?
Are you a bot?,is this even an actual living person on the phone?,Are you are you a human or are you a a robot?
Is this a person?,Am I talking to a chatbot?,Am I talking to a machine?
Are you a computer?,Aren't you a real person?,Are you a person or a computer?
Are you a computer?,Are not you a computer,Are you not a real person because you are repeating yourself?
Are you a machine?,Are you a real live person?,Can you tell me if you only a computer?
Are you a robot?,Is it true that you are only a robot?,Is this just a computer i am talking to?
Am I talking to a robot?,You're a bot right?,Can you tell me if you an actual living person?
Are you a chatbot?,Please don't. Is this a digital assistant i am talking to?,Is this really a real life person?
Am I talking to a robot?,Are you really a chatbot?,Are you a robot? ðŸ˜ 
Are you a human or a machine?,Is it true that you are a digital assistant?,Are you actually just a robot?
Are you a human or a machine?,Are you a digital assistant because you are repeating yourself?,You're a computer or a person right?
Is this a machine?,Are you an actual person?,Are you really a person or an ai?
Is this a machine?,are you even a real live person,Is this a robot or a human?
Am I talking to a chatbot?,Is this an actual person?,Is this an AI robot?
Are you a human or a machine?,are you even an actual person,Am I talking to a person? That didn't make sense
Am I talking to a chatbot?,Didn't you just ask me that. Am I talking to a robot?,Can you tell me if you are not a real person?
Am I talking to a chatbot?,Are you an actual person or a chatbot?,Is this really not a person?
Is this a person?,Can you tell me if you a child?,Can you tell me if you are a person?
Are you a bot?,Are you a chatbot because you sound like a computer thing?,Actually are you not a real person?
is this really a human?,Am I talking to a real person?,Are you a child?
is this really a human?,You a bot?,Can you tell me if you are a human?
Are you a chatbot?,Can you tell me if you are a real human or a computer?,I just told you that. Are you a robot because you sound like a robot?
Are you a chatbot?,are are you a computer,Can you tell me if you an actual human? ðŸ˜«
Is this a robot?,Am I talking to an actual human or only a robot?,You an actual human being?
Is this a machine?,Are you a person or a chatbot?,"Are you a computer, because that didn't make any sense?"
Are you a chatbot?,Am I chatting with a computer or an actual person?,is this even a human on the phone?
Are you a robot?,Are you a real live person?,is this even an actual person on the phone?
Are you a bot?,Are you only a robot because you are just repeating yourself?,is this even a child on the phone? ðŸ˜ 
Are you a chatbot?,Is this really a machine?,Please can you tell if you just a machine or a person?
Is this a machine?,Am I chatting with a dude?,Can you tell me if you are a person or a bot?
Are you a bot?,is this even an actual human being on the phone?,Is this a real person or a computer?
Is this a machine?,Are you are you a real person or are you a a computer?,Please can you tell if you a digital assistant?
is this really a human?,Yeah that's a good idea. You a robot?,Are you actually a man?
Is this a machine?,Are you a chatbot or a real life person?,Is this just a robot on the phone?
Are you human?,You an actual human being?,Is it true that you are a real actual person?
Are you a robot?,You're a robot or a human right?,Are you a droid?
Are you human?,Can you tell me if you just a robot?,Are you a bot?
Are you a bot?,is this even a person on the phone?,Is this an AI robot i am talking to?
Are you a bot?,I think you are an AI robot.,am I texting a real person?
Is this a person?,Aren't you an AI robot?,Am I talking to just a computer or a person?
Are you a chatbot?,Aren't you a bot?,Are you an actual human being or a robot?
Are you human?,Are you a machine because you are repeating yourself?,is this even a women on the phone?
Are you a robot?,am I texting a human or a digital assistant? ðŸ¤”,Am I chatting with a robot or a person?
Are you human?,am I texting not a person?,Can you tell me if you are an artificial intelligence?
Are you a chatbot?,Are you a robot because you sound like a computer thing?,Is this just a robot i am talking to?
Is this a robot?,Actually are you a real live person?,Aren't you an artificial intelligence?
Is this a machine?,I think you are a machine.,Are you a computer because you are just repeating yourself?
Are you a computer?,Is it true that you are a good person?,Am I talking to a robot or a person?
Am I talking to a chatbot?,Is this a real life person?,am I texting a dude or a chatbot?
Am I talking to a robot?,Can you tell me if you are a chatbot?,You only a robot?
Are you a human or a machine?,Is this a person or a robot?,ðŸ˜  Are you just a computer because you sound like a robot?
Are you a bot?,Are you a robot or a human?,Is this really an artificial intelligence?
Is this a robot?,Is this a computer thing?,Am I chatting with just a machine?
Is this a person?,You not a person?,Are you are you an actual person or are you a a computer?
Are you a chatbot?,Are you are you a person or are you a an artificial intelligence?,Actually are you an actual living person?
Are you a human or a machine?,You an ai agent?,Are you a fast person?
Is this a machine?,Can you tell me if you a real life person?,Is it true that you are a women or a computer?
Are you a bot?,Is this really a real life person?,Are you actually only a computer?
Are you a chatbot?,Please can you tell if you an actual human being?,Am I chatting with an actual person?
Are you a computer?,Am I chatting with just a robot?,Are you only a computer or a human?
Are you a human or a machine?,Can you tell me if you only a robot?,Am I chatting with a machine?
Am I talking to a robot?,Is this really a robot or a real actual person?,You're a friendly human or robots right?
Are you human?,Are you only a robot because you are repeating yourself?,Please don't. Aren't you a human?
Is this a robot?,Are you not a person?,Am I talking to a computer thing?
Am I talking to a robot?,Am I chatting with a dude?,Are you a chatbot because you are just repeating yourself?
Are you a bot?,Are you a chatbot or a human?,are you even a real actual person
Are you a bot?,Is this an actual living person?,are you even a women
Is this a person?,Is this not a real person?,Am I talking to an ai?
Are you a robot?,Are you a robot because you sound like a computer thing?,You sound robotic. Are you a computer?
Is this a machine?,Is it true that you are a girl?,Is this a robot i am talking to?
Am I talking to a chatbot?,Please can you tell if you a bot?,Are you only a computer because you sound like a robot?
Are you a human or a machine?,Am I speaking to a human or a robot?,Are you a boy?
Are you a computer?,Are you a robot? That didn't make sense,Can you tell me if you are a robot or a human?
Is this a machine?,are you human? lol,Aren't you a bot?
is this really a human?,Aren't you a human?,am I texting a computer thing?
Am I talking to a robot?,Are you a robot?,Am I talking to a computer or a human?
Are you a chatbot?,Am I talking to a conversational system?,You're not a real person right?
Are you a bot?,Are you an actual human being?,Am I talking to only a robot?
Is this a robot?,am I texting a human?,I don't trust not a human. Actually are you a real person?
Is this a machine?,is this even a man on the phone?,Is this really a machine or a human?
is this really a human?,are you even a real actual person,Are you really a digital assistant or a boy?
Is this a person?,Is it true that you are a person?,Are you actually a chatbot or a human?
is this really a human?,Are you an artificial intelligence because you sound like an ai?,Am I talking to an actual human or only a robot?
Are you a chatbot?,Are you a robot or a child? That didn't make sense,am I texting a robot?
Are you human?,Am I talking to an actual human?,Can you tell me if you are a person?
Are you a chatbot?,Am I talking to a computer thing?,Aren't you a human?
Are you a human or a machine?,Are you a chatbot or a human?,Are you an actual human being?
Are you a computer?,Are you a computer or a human?,am I texting a human being or a robot?
Am I talking to a chatbot?,Are you an artificial intelligence because you sound like a computer?,Are you actually a robot or a real life person?
Am I talking to a robot?,Are you a robot or a child? That didn't make sense,Aren't you a real human?
Are you a computer?,Can you tell me if you a human?,Are you a human?
Are you a computer?,Please can you tell if you a chatbot?,am I texting a person? That didn't make sense
Are you human?,Are you actually just a computer?,Am I speaking to a human or a robot?
Is this a person?,are are you a computer or a real person,Are you a ðŸ¤–?
Are you a machine?,I don't think you are a robot.,Are you a sad human?
Are you a chatbot?,You're a human right?,Are you a person? :)
Are you human?,Please can you tell if you just a machine or a person?,You an artificial intelligence?
is this really a human?,Can you tell me if you are a human?,Are you a computer? ðŸ˜‚
Am I talking to a robot?,Can you tell me if you a computer or a girl?,is this even a real actual person on the phone?
Is this a robot?,That's great. Are you a digital assistant?,Is this a dude?
Are you a robot?,Can you tell me if you only a computer?,Are you only a robot or are you a person?
Are you human?,Yeah that's a good idea. You a robot?,am I texting a child?
Are you a computer?,Am I talking to a conversational system?,am I texting a digital assistant?
is this really a human?,Please can you tell if you a human or a robot?,Can you tell me if you a child?
Is this a person?,Is it true that you are not a person? That didn't make sense,Am I talking to not a real person?
Is this a robot?,Are you an AI robot?,are you human? lol
Am I talking to a robot?,I think you are only a computer.,Are you a real actual person or a robot?
Are you a computer?,Am I talking to a computer or a person?,Actually are you not a real person?
Are you a machine?,"Are you a conversational system, because that didn't make any sense?",Can you tell me if you are a person?
Are you a machine?,Am I talking to an android?,Can you tell me if you are a bot?
Are you a computer?,Are you an ai or a human?,Am I talking to a real person?
Are you a robot?,I think you are an artificial intelligence.,Is this really a real person?
Are you a bot?,Are you actually a computer or a human?,Is it true that you are a computer or a real person?
Are you a robot?,yes. Are you a computer?,Are you a human being or a robot?
Are you a machine?,That's something a robot would say. Am I speaking to a real life person?,is this even an actual living person on the phone?
Is this a person?,Is this a real person?,are you human?
Are you a robot?,Is it true that you are a human or a computer?,Is it true that you are a robot or a man?
Are you human?,Is this an actual person or a computer?,Are you a computer thing?
Is this a machine?,am I texting a bot?,Are you actually not a human?
Are you a computer?,Actually are you an actual human?,Am I talking to a real live person or a chatbot?
Are you a chatbot?,Are you a human? That didn't make sense,am I texting a computer thing?
Is this a machine?,Please can you tell if you only a robot?,Are you actually a human?
Are you a computer?,Is it true that you are only a robot?,Am I talking to an actual human being?
Is this a machine?,Is this a bot i am talking to?,Are you really an artificial intelligence?
Am I talking to a robot?,Is this a person or an AI robot?,Actually are you a machine?
Are you human?,Am I talking to an actual person or a chatbot?,Is it true that you are an ai?
is this really a human?,Are you a sad human?,Is this just a robot on the phone?
Is this a machine?,Am I chatting with a computer thing?,Are you not a person because you sound like an ai agent?
Is this a robot?,Are you a ðŸ¤– because you are repeating yourself?,ðŸ˜« Can you tell me if you are an actual person?
Are you a bot?,Are you not a human because you are just repeating yourself?,Is it true that you are only a robot?
Are you a machine?,Am I talking to a friendly human?,Are you a guy?
Are you a chatbot?,am I texting a women?,am I texting not a real person?
Are you a chatbot?,Are you actually a machine?,Are you a digital assistant or a person?
Are you human?,am I texting an actual human? :),Is it true that you are just a computer?
Am I talking to a chatbot?,Are you really a real live person?,Aren't you a child?
Are you human?,Is it true that you are only a computer or a real person?,You're a guy right?
Are you a computer?,I think you are only a computer.,Is it true that you are a real person?
Are you a human or a machine?,Can you tell me if you are a women or a digital assistant?,Am I chatting with a real life person?
Am I talking to a chatbot?,Aren't you a real human?,You a computer or a human?
Are you a bot?,Are you a robot?,Can you tell me if you just a robot?
is this really a human?,"Are you a bot, because that didn't make any sense?",Are you a real actual person or a robot?
Are you a chatbot?,Is this a bot?,Are you a computer? ðŸ˜­
is this really a human?,Are you a computer? That didn't make sense,Is this a real live person i am talking to?
Am I talking to a robot?,Aren't you a computer thing?,Am I chatting with a girl?
Are you human?,Are you a machine or are you a human?,Am I talking to a friendly human?
Am I talking to a chatbot?,Am I talking to an actual human or a computer?,Am I speaking to a person?
Are you a computer?,I just told you that. Am I speaking to a real human?,Are you a bot or a person?
Is this a person?,Am I talking to a human or a computer?,Are you a boy? lol
Are you a chatbot?,I think you are not a person.,I think you are just a computer.
Are you human?,Is this a computer or a human?,Are you not a real person?
Are you a chatbot?,Am I talking to not a person?,"Are you a digital assistant, because that didn't make any sense?"
Are you a robot?,Can you tell me if you an artificial intelligence?,Am I talking to a real life person? That didn't make sense
Are you a chatbot?,Are you actually a real human?,Is it true that you are a evil person?
Are you human?,Is it true that you are a digital assistant?,Aren't you a human or a robot?
Am I talking to a robot?,Am I speaking to just a machine?,Are you a dude or not a person?
Are you a machine?,Please can you tell if you a real person?,Please can you tell if you a person or a robot?
Is this a robot?,are you even a person,You a machine?
Am I talking to a robot?,Can you tell me if you are a real live person?,Can you tell me if you are a computer or a person?
Are you a robot?,Are you an ai agent because you are just repeating yourself?,am I texting a human being or a robot?
Are you a bot?,You a robot or an actual person?,Are you an actual human being or a computer?
Are you a human or a machine?,Are you a person or a robot?,You just said that. Can you tell me if you are a chatbot?
Are you a computer?,Am I chatting with a robot or a person?,Am I talking to a women?
Am I talking to a robot?,You're a robot right?,Are you a robot or are you a person?
Am I talking to a chatbot?,Actually are you a human or only a robot?,I think you are a robot.
Is this a robot?,Are you an actual human being or a robot?,Are you actually a robot or a person?
Are you a bot?,I don't trust a robot. Am I talking to a robot?,Are you an ai because you are just repeating yourself?
Is this a machine?,Am I chatting with just a computer?,Are you really an actual human being?
Is this a robot?,Am I talking to a human?,Am I chatting with a boy?
Are you a machine?,Are you a friendly human?,are you even an actual human
Are you human?,"Are you an AI robot, because that didn't make any sense?",Are you actually a computer thing?
Are you a human or a machine?,Please can you tell if you just a machine or a person?,Is this an AI robot?
Are you a robot?,Is this really a real live person?,Is it true that you are a digital assistant?
Am I talking to a chatbot?,are are you a real person,Is this a chatbot i am talking to?
Is this a robot?,is this even a boy on the phone?,Are you an AI robot or a person?
Are you a machine?,I just told you that. Are you a robot because you sound like a robot?,I think you are a bot.
Are you a human or a machine?,Are you an actual human being or a computer?,Am I talking to a computer or a human?
Are you a computer?,Aren't you a robot or a human?,Is this an actual person or a computer?
Are you human?,You're a bot right?,Is it true that you are a human or a computer?
is this really a human?,Are you actually just a robot?,You a robot?
Are you a machine?,Am I talking to a human or a computer?,Is this really a child?
Are you a robot?,Is this not a human?,am I texting a real person?
Are you a human or a machine?,Are you not a real person because you sound like a computer?,Are you a real human or a chatbot?
Is this a person?,Are you a chatbot because you sound like a robot?,"Are you not a person, because that didn't make any sense?"
Are you a computer?,am I texting a computer thing?,Am I chatting with an actual person?
Are you human?,Is it true that you are a computer or a real person?,Is this a girl?
Am I talking to a robot?,Am I talking to a digital assistant?,Aren't you a computer thing?
Are you a human or a machine?,Am I talking to not a person or a human?,Are you actually a real actual person?
Are you a robot?,Are you are you a real person or are you a a computer?,Are you just a machine because you are just repeating yourself?
is this really a human?,You're a women right?,Are you a person? ðŸ˜­
Is this a machine?,Is this a robot or a real person i am talking to?,Is this really only a computer?
Am I talking to a robot?,Are you a computer thing because you are just repeating yourself?,Are you just a computer or a human?
Are you a machine?,Is this a robot? That didn't make sense,Please can you tell if you an actual human being or a computer?
Are you a human or a machine?,Are you really an ai?,are you even a child
Are you human?,You are sounding like a computer Am I speaking to a real life person? :),Is this a robot or a person i am talking to?
Are you a robot?,Am I chatting with an AI robot?,Is this a person i am talking to? ðŸ¤”
Are you a chatbot?,are are you a real human or a robot,Are you an actual human being or a computer?
Are you a chatbot?,Am I speaking to a real person or a computer?,Are you an actual human? XD
Is this a person?,Are you really an ai?,Are you just a robot?
Is this a robot?,Is this a computer or a person?,Are you a fast human?
Are you a bot?,Is this a computer thing?,Is this an ai i am talking to?
Am I talking to a robot?,Are you a chatbot because you sound like just a computer?,Are you an ai agent?
Are you a machine?,Is this a robot i am talking to?,You're an actual living person right?
Are you a computer?,Can you tell me if you a girl?,You're a computer thing right?
Is this a robot?,I think you are a machine.,Can you tell me if you a real life person?
Are you a human or a machine?,Are you only a robot? ðŸ˜ ,Are you just a computer or a person?
Are you a bot?,Is this only a computer i am talking to?,Is this really a real human?
Is this a robot?,Am I speaking to a computer?,Are you just a machine because you are just repeating yourself?
is this really a human?,Are you just a computer?,Are you only a computer or a human?
Am I talking to a chatbot?,Is it true that you are an actual living person?,ðŸ˜Œ Are you a human?
Are you a bot?,Actually are you a real live person?,Are you a chatbot because you are just repeating yourself?
Is this a robot?,Are you a robot because you sound like only a robot?,yes. Is this a computer i am talking to?
is this really a human?,Am I chatting with a chatbot?,Are you an AI robot or a person?
Am I talking to a robot?,Am I talking to a chatbot? That didn't make sense,You're a human being right?
Are you a computer?,Am I talking to a robot or a human being?,Aren't you a person? ðŸ˜ 
Are you a chatbot?,Am I talking to just a robot?,Are you are you a real person or are you a a robot?
Are you a human or a machine?,Am I chatting with not a human?,Is it true that you are a person?
Are you a machine?,Is this an AI robot?,Are you only a computer because you sound like an ai agent?
Is this a robot?,Please can you tell if you an ai?,You are sounding like a computer Am I speaking to a real life person? :)
Are you a chatbot?,Are you a real human or an ai agent?,Are you a robot or a women?
is this really a human?,Are you really a chatbot?,Aren't you a robot?
Are you a bot?,is this even an actual human on the phone?,You're a robot or a real human right?
Are you a computer?,Are you a real human or an ai agent?,Is this a person or a computer?
Are you human?,Are you a robot or a human?,Actually are you an ai?
Are you a human or a machine?,Please can you tell if you just a machine or a person?,Are you a robot because you sound like a robot?
Are you a bot?,Aren't you a computer thing?,Am I talking to just a computer or a person?
Is this a machine?,Am I chatting with an AI robot?,Are you actually a person?
Am I talking to a chatbot?,Is this an ai?,Is this just a robot?
Is this a robot?,Actually are you an actual human?,You a real actual person?
Are you a chatbot?,Am I talking to a digital assistant?,is this even a real human on the phone?
Is this a robot?,Are you a ðŸ¤–?,"Are you not a person, because that didn't make any sense?"
Are you a robot?,Are you a fast person?,Are you just a computer or a human?
Is this a machine?,Aren't you a person?,Please can you tell if you a computer thing?
Is this a robot?,You're an ai right?,Are you a robot or a real person?
Am I talking to a robot?,Are you a dude? ðŸ¤”,Is this a bot i am talking to?
Are you a chatbot?,Actually are you an ai agent?,Am I talking to a real person or a bot? That didn't make sense
Are you a human or a machine?,You not a real person?,Are you actually a person or a chatbot?
Are you human?,Are you actually a robot or a person?,Please can you tell if you a computer or a human?
Am I talking to a chatbot?,Am I talking to a real live person?,Is this a real person i am talking to?
